iso3_country_code,market_name,commodity_name,measure_unit_label,source_name,weekly,monthly
IPS,Argentina,Maize (Up River),tonne,International Grains Council,07-Jan-05 - 26-Sep-25,Jan-05 - Sep-25
IPS,Argentina,"Wheat (12%, Up River)",tonne,International Grains Council,07-Jan-05 - 26-Sep-25,Jan-05 - Sep-25
IPS,Australia,"Australia, Meat: Bovine (90CL Boneless Beef, FOB export prices to the United States of America)",tonne,"Meat & Livestock, Australia",,Jan-90 - Sep-25
IPS,Australia,"Australia, Meat: Ovine (National Heavy Lamb Indicator Value)",tonne,"Meat & Livestock, Australia",,Jan-90 - Sep-25
IPS,Australia (Eastern States),Barley (feed),tonne,International Grains Council,,Aug-02 - Sep-25
IPS,Australia (Eastern States),Wheat (ASW),tonne,International Grains Council,,Jun-00 - Sep-25
IPS,Bangladesh,"Jute BWD (f.o.b. Mongla, at sight)/from 2006 Jute BTD (f.o.b Bangladesh Port)",tonne,Bangladesh Jute Mills Corporation/The Public Ledger/Wilhelm G. Clasen (WGC),,Jan-04 - May-25
IPS,Black Sea,Barley (feed),tonne,International Grains Council,,Jun-00 - Sep-25
IPS,Black Sea,Urea (N fertilizer),tonne,Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC) via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,Brazil,"Meat: Bovine (Fresh, chilled or frozen)",tonne,Comex Stat,,Jan-90 - Sep-25
IPS,Brazil,"Meat: Pig meat (Meat of swine, fresh, chilled or frozen)",tonne,Comex Stat,,Jan-90 - Sep-25
IPS,Brazil,"Meat: Poultry (Meat and edible offal. Fresh, chilled or frozen)",tonne,Comex Stat,,Jan-90 - Sep-25
IPS,Brazil,"Potassium chloride, muriate of potash (K fertilizer)",tonne,Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC) via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,Brazil,"Sisal (Brazil Bahia, No. 3/ from 2013 Bahia Type 3 DB, f.o.b. Salvador)",tonne,Wigglesworth and Co. Limited/The Public Ledger/ Sindifibras,,Jan-87 - May-25
IPS,Brazil (Paranagua),Maize (feed),tonne,International Grains Council,,Apr-08 - Sep-25
IPS,Canada (St Lawrence),"Wheat (CWRS, 13.5%)",tonne,International Grains Council,,Jan-00 - Sep-25
IPS,East Africa,"Sisal (East African, No. 3L - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",tonne,Wigglesworth and Co. Limited/The Public Ledger/Tanzania Sisal Board,,Jan-87 - May-25
IPS,East Africa,"Sisal (East African, UG - Tanzania/Kenya c.i.f. - from 2007 f.o.b.)",tonne,Wigglesworth and Co. Limited/The Public Ledger/Tanzania Sisal Board,,Jan-87 - May-25
IPS,Europe,Crude oil (Brent),Barrel,Bloomberg; Energy Intelligence Group (EIG); Organization of Petroleum Exporting Countries (OPEC); World Bank via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,Europe and Oceania,"Dairy: Butter (European & Oceania average indicative export prices, f.o.b)",tonne,Dairy Market News (USDA),,Jan-90 - Sep-25
IPS,Europe and Oceania,"Dairy: Cheddar Cheese (European & Oceania average indicative export prices, f.o.b)",tonne,Dairy Market News (USDA),,Jan-90 - Sep-25
IPS,Europe and Oceania,"Dairy: Skim Milk Powder (European & Oceania average indicative export prices, f.o.b)",tonne,Dairy Market News (USDA),,Jan-90 - Sep-25
IPS,Europe and Oceania,"Dairy: Whole Milk Powder (European & Oceania average indicative export prices, f.o.b)",tonne,Dairy Market News (USDA),,Jan-90 - Sep-25
IPS,European Union,Bananas,tonne,World Bank Commodity Price Data (The Pink Sheet),,Jan-97 - Sep-25
IPS,European Union (France),Barley (feed),tonne,International Grains Council,,Jun-00 - Sep-25
IPS,European Union (France),"Wheat (grade 1, Rouen)",tonne,International Grains Council,,Nov-07 - Sep-25
IPS,European Union (Germany),Meat: Pig meat (Market price for pig carcase grade E),tonne,European Commision,,Jan-90 - Sep-25
IPS,FAO Tea Composite Price,Tea,Kg,FAO Intergovernmental Group on Tea,,Jan-90 - May-25
IPS,France,Bananas,tonne,Réseau des Nouvelles des Marchés,,Jan-12 - Oct-25
IPS,India,Rice (25% broken),tonne,FAO rice price update,,Jan-95 - Sep-25
IPS,Kazakhstan,"Wheat (milling, d.a.p. Saryagash station)",tonne,APK-Inform Agency,01-Dec-17 - 26-Sep-25,Nov-17 - Sep-25
IPS,"Mombasa Auction, Average Price",Tea,Kg,"ATB -  Africa Tea Brokers Limited Tea Market Report, East African Tea Export Auctions, Mombasa",,Jan-07 - May-25
IPS,"Mombasa Auction, Kenya Price",Tea,Kg,"ATB -  Africa Tea Brokers Limited Tea Market Report, East African Tea Export Auctions, Mombasa",,Jan-07 - May-25
IPS,Morocco,Phosphate rock (P fertilizer),tonne,Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC) via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,New Zealand,"New Zealand, Meat: Ovine (Lamb Average Export Value)",tonne,AgriHQ,,Jan-90 - Sep-25
IPS,Pakistan,Rice (25% broken),tonne,FAO rice price update,,Jan-00 - Sep-25
IPS,Pakistan,Rice (Super Kernel White Basmati 2%),tonne,FAO rice price update,,Jan-00 - Sep-25
IPS,Philippines,"Coconut oil (Philippines, c.i.f. Rotterdam)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Russian Federation,"Wheat (milling, 12.5%)",tonne,International Grains Council,,Jul-04 - Sep-25
IPS,Russian Federation,"Wheat (offer, f.o.b., deep-sea ports)",tonne,APK-Inform Agency,27-Oct-06 - 26-Sep-25,Oct-06 - Sep-25
IPS,Thailand (Bangkok),Rice (25% broken),tonne,Thai Rice Exporters Association,,Jan-00 - Sep-25
IPS,Thailand (Bangkok),Rice (5% broken),tonne,Thai Rice Exporters Association,07-Jan-00 - 26-Sep-25,Jan-00 - Sep-25
IPS,Thailand (Bangkok),Rice (Fragrant 100%),tonne,Thai Rice Exporters Association,,Jan-00 - Sep-25
IPS,Thailand (Bangkok),Rice (Glutinous 10%),tonne,Thai Rice Exporters Association,,Jan-00 - Sep-25
IPS,Thailand (Bangkok),Rice (Parboiled 100%),tonne,Thai Rice Exporters Association,,Jan-00 - Sep-25
IPS,Thailand (Bangkok),Rice (Thai 100% B white),tonne,Thai Rice Exporters Association,06-Jan-89 - 26-Sep-25,Jan-89 - Sep-25
IPS,Thailand (Bangkok),Rice (Thai A1 Super),tonne,Thai Rice Exporters Association,06-Jan-89 - 26-Sep-25,Jan-89 - Sep-25
IPS,Ukraine,Maize (feed),tonne,International Grains Council,,Jan-10 - Sep-25
IPS,Ukraine,"Maize (offer, f.o.b.)",tonne,APK-Inform Agency,07-Jan-00 - 26-Sep-25,Jan-00 - Sep-25
IPS,Ukraine,"Wheat (feed, <11%)",tonne,International Grains Council,,Jun-00 - Sep-25
IPS,Ukraine,"Wheat (milling, offer, f.o.b.)",tonne,APK-Inform Agency,07-Jan-00 - 26-Sep-25,Jan-00 - Sep-25
IPS,United States of America,"Groundnuts (US Runners 40/50, c.i.f. Rotterdam)",tonne,Oil World,,Jan-96 - Aug-25
IPS,United States of America,"Meat: Bovine (Fresh, chilled or frozen)",tonne,USDA: US trade exports,,Jan-90 - Sep-25
IPS,United States of America,"Meat: Pig meat (Fresh, chilled or frozen)",tonne,USDA: US trade exports,,Jan-90 - Sep-25
IPS,United States of America,"Meat: Poultry (Chicken cuts and edible offal, fresh, chilled or frozen)",tonne,USDA: US trade exports,,Jan-90 - Sep-25
IPS,United States of America,"Rice (US No. 2, 4% Long Grain)",tonne,FAO rice price update,,Jan-00 - Sep-25
